sensorId,lat,lon,boxName,boxId,unit,temperatur_2018-12-31T23Z,temperatur_2019-01-01T00Z,temperatur_2019-01-01T01Z,temperatur_2019-01-01T02Z,temperatur_2019-01-01T03Z,temperatur_2019-01-01T04Z,temperatur_2019-01-01T05Z,temperatur_2019-01-01T06Z,temperatur_2019-01-01T07Z,temperatur_2019-01-01T08Z,temperatur_2019-01-01T09Z,temperatur_2019-01-01T10Z,temperatur_2019-01-01T11Z,temperatur_2019-01-01T12Z,temperatur_2019-01-01T13Z,temperatur_2019-01-01T14Z,temperatur_2019-01-01T15Z,temperatur_2019-01-01T16Z,temperatur_2019-01-01T17Z,temperatur_2019-01-01T18Z,temperatur_2019-01-01T19Z,temperatur_2019-01-01T20Z,temperatur_2019-01-01T21Z,temperatur_2019-01-01T22Z,temperatur_2019-01-01T23Z,temperatur_2019-01-02T00Z
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,°C,9.296666666666667,8.944166666666666,8.668333333333333,8.616666666666667,8.657692307692308,8.727500000000001,8.681666666666667,8.694166666666666,8.385,8.365833333333333,8.7225,8.986153846153845,9.249166666666666,9.688333333333333,9.354166666666666,9.030833333333334,8.211666666666668,7.144615384615384,7.069166666666667,6.756666666666667,6.2875000000000005,6.350833333333333,6.1000000000000005,6.062307692307693,6.031666666666666,5.974166666666666
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,°C,10.237333333333334,9.715166666666667,9.429333333333334,9.462333333333333,9.413833333333335,9.4855,9.452166666666667,9.416333333333334,9.184666666666667,9.208499999999999,9.477166666666667,9.909166666666666,10.318833333333334,11.917499999999999,10.731333333333334,10.339830508474575,9.370666666666667,8.202166666666667,8.135333333333334,7.730666666666666,7.388333333333334,7.348666666666667,7.0625,6.999666666666667,6.991,6.8635
5837219353fb45000f9478b5,51.9477,7.5875,Westfälisches Pferdemuseum Münster,5837219353fb45000f9478b0,°C,8.666666666666666,8.116666666666667,7.900000000000001,7.883333333333334,7.95,8.1,8.1,8.049999999999999,,,,,,,,,,,6,5.633333333333333,5.6,5.516666666666667,5.3500000000000005,5.1000000000000005,5.116666666666666,4.933333333333334
591f578c51d34600116a8ea6,51.96422,7.645218,Wetterstation Erpho,591f578c51d34600116a8ea5,°C,,,,,,,,,,,,,,,,,,,6.955238095238095,6.729313725490196,6.206534653465346,6.122254901960784,5.904851485148515,5.855643564356435,5.791568627450981,5.639207920792079
593bcd656ccf3b0011791f5b,51.960868,7.604288,CYBER Box,593bcd656ccf3b0011791f5a,°C,9.646610169491526,9.178983050847457,8.913,8.907166666666665,8.908166666666666,8.955,8.9675,8.957457627118645,8.717966101694916,8.7425,9.072413793103449,9.489827586206896,9.789818181818182,11.947966101694915,10.982950819672132,9.977166666666667,9.087758620689655,8.007090909090909,7.772711864406779,7.381166666666667,7.140689655172414,7.018135593220339,6.7235000000000005,6.629333333333333,6.525593220338983,6.495084745762711
59c3b5e1d67eb50011335cf3,51.956907,7.633289,Gruenes_Zentrum,59c3b5e1d67eb50011335cee,°C,9.695,9.211333333333332,8.930833333333334,8.868166666666667,8.907,8.965833333333334,8.953166666666668,8.917166666666667,8.6455,8.604999999999999,8.879344262295081,9.370166666666668,9.718666666666667,9.984833333333334,9.781833333333333,9.425666666666666,8.227,6.845666666666667,6.952666666666667,6.667666666666666,6.1706666666666665,6.386666666666667,6.2325,6.158833333333333,6.024166666666667,5.975
59c67b5ed67eb50011666dc0,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,°C,9.188833333333333,8.788499999999999,8.584833333333334,8.4715,8.499,8.471833333333333,8.443666666666667,8.493,8.4285,8.4355,8.670166666666667,9.117833333333333,9.404333333333334,10.1915,10.185666666666666,9.108032786885246,8.161833333333332,7.022,6.728166666666667,6.403499999999999,5.981833333333333,5.836333333333333,5.804166666666666,5.680666666666666,5.599833333333334,5.536833333333333
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,°C,9.602,9.037666666666667,8.761833333333334,8.724833333333333,8.724,8.741166666666667,8.741000000000001,8.682333333333332,8.342666666666666,8.312000000000001,8.693666666666667,9.157833333333334,9.412333333333333,9.754,9.667166666666667,9.238666666666667,8.141333333333334,6.922666666666667,7.1375,6.656333333333333,6.2995,6.410666666666667,6.245666666666667,6.130833333333333,6.001186440677966,5.964666666666667
5a0c2cc89fd3c200111118f7,51.960435,7.641426,Umwelthaus Münster,5a0c2cc89fd3c200111118f0,°C,9.396666666666667,8.8975,8.596166666666667,8.592333333333332,8.637166666666667,8.659166666666666,8.670333333333334,8.626101694915254,8.258666666666667,8.258333333333333,8.617666666666667,9.061666666666667,9.419333333333332,9.761666666666667,9.607666666666667,9.228833333333334,8.17322033898305,7.103,7.076949152542373,6.723833333333333,6.336,6.396833333333333,6.166833333333333,6.040333333333334,5.9225,5.86406779661017
5a0c30489fd3c20011115fbe,51.970725,7.631443,Nordschänke,5a0c30489fd3c20011115fb7,°C,9.381666666666666,8.997000000000002,8.647166666666667,8.659833333333333,8.722833333333334,8.772,8.758666666666667,8.7095,8.326333333333332,8.363666666666667,8.792,9.2665,9.769,11.746,10.058166666666667,9.55,8.643666666666666,7.615084745762712,7.622931034482758,7.210166666666667,6.5645,6.613770491803279,6.463666666666667,6.361666666666666,6.265333333333333,6.199166666666667
